File,python time,cpu time,real time,Satisfying
rope_7500.shuffled.cnf,0.003095,,,
rope_0500.shuffled.cnf,0.054635,44.957,4.51245,UNSATISFIABLE
rope_2500.shuffled.cnf,0.002797,2869.8,252.811,UNSATISFIABLE
Urquhart-s3-b3.shuffled.cnf,0.00325,45.8108,4.28919,UNSATISFIABLE
rope_0004.shuffled.cnf,0.002285,0.07563,0.019588,UNSATISFIABLE
unif-c500-v250-s673243691.cnf,0.002447,0.003036,0.00949001,SATISFIABLE
rope_0003.shuffled.cnf,0.00285,0.040675,0.0147901,UNSATISFIABLE
Urquhart-s3-b2.shuffled.cnf,0.002631,10.5274,1.78536,UNSATISFIABLE
unif-c500-v250-s1560418558.cnf,0.003001,0.008636,0.0121138,SATISFIABLE
rope_0005.shuffled.cnf,0.00342,0.125078,0.024899,UNSATISFIABLE
unif-c500-v250-s1228594393.cnf,0.001926,0.00344,0.00979996,SATISFIABLE
Urquhart-s3-b4.shuffled.cnf,0.00297,113.276,10.7852,UNSATISFIABLE
Urquhart-s3-b5.shuffled.cnf,0.003431,69.988,6.30073,UNSATISFIABLE
rope_1000.shuffled.cnf,0.002983,197.197,19.7042,UNSATISFIABLE
rope_5000.shuffled.cnf,0.004024,15343.1,1386.99,UNSATISFIABLE
rope_0002.shuffled.cnf,0.002809,0.016797,0.0109,UNSATISFIABLE
rope_0001.shuffled.cnf,0.003207,0.0089,0.00569987,UNSATISFIABLE
unif-c500-v250-s453695930.cnf,0.003264,0.005187,0.0109808,SATISFIABLE
unif-c500-v250-s1888225086.cnf,0.002688,0.013636,0.0117769,SATISFIABLE
Urquhart-s3-b1.shuffled.cnf,0.003034,31.1037,2.86851,UNSATISFIABLE
